label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,b,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,u
e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
p,x,f,g,f,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d
e,x,s,w,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
p,x,f,p,f,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
p,x,f,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g
p,f,s,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
p,x,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g
e,x,f,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,y,g,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
e,x,s,n,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,n,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,y,n,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
p,f,s,b,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g
e,f,f,g,t,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,f,g,t,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d
p,x,f,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
e,x,f,n,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
p,f,f,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
e,f,f,y,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
p,x,y,n,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
p,x,s,b,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g
p,f,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
p,x,s,n,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g
p,x,f,w,f,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d
e,x,s,n,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,n,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
p,x,f,g,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
e,f,y,n,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
e,f,f,g,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,y,g,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,y,g,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
e,x,y,e,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,y,e,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
e,s,f,n,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
p,f,s,w,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g
e,x,y,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,y,g,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
e,f,f,n,t,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
e,x,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,y,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
e,x,y,n,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,x,f,n,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
e,f,f,g,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d
e,b,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,n,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
p,f,f,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
e,f,f,g,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
