label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,y,g,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d
p,f,f,g,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,f,y,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
e,f,y,g,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
p,f,f,e,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,s,w,f,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g
p,x,y,w,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
e,f,y,g,t,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,f,y,n,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,s,g,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
p,f,s,w,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u
e,x,y,n,t,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d
e,x,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,f,n,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
p,x,f,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
e,x,s,n,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
p,x,f,g,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,f,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
e,x,f,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
p,x,s,p,f,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d
e,x,y,e,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d
p,x,f,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
p,x,f,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
e,k,f,n,f,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l
p,x,s,w,t,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g
e,x,y,g,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
e,f,y,n,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
p,x,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,g
e,x,y,n,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,f,y,y,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
e,b,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
