label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,s,n,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,e,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
p,f,y,n,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,f,e,t,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
p,f,y,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
e,x,f,e,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,f,y,e,t,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
p,f,s,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
e,x,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,f,s,w,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g
p,x,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g
p,x,f,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g
p,f,s,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
p,x,s,w,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u
e,b,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,y,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,y,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
e,x,s,w,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
p,x,y,w,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
p,f,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
e,f,f,e,t,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,f,e,t,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
e,x,f,e,t,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
e,f,y,e,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
e,f,f,c,f,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l
p,x,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,y,g,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
